rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1598329439639307247,,590,,1598329439,638100342,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439690238816,,591,,1598329439,689133066,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439739268776,,592,,1598329439,738090611,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439789066610,,593,,1598329439,788090168,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439839090504,,594,,1598329439,837974414,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439888816812,,595,,1598329439,887905932,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439939036157,,596,,1598329439,938005604,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329439989187971,,597,,1598329439,988124633,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440039211271,,598,,1598329440,38158991,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440089980360,,599,,1598329440,88934754,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440139234275,,600,,1598329440,138052821,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440191741470,,601,,1598329440,190772659,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440238992772,,602,,1598329440,237939278,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440288873552,,603,,1598329440,287739979,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440339851377,,604,,1598329440,338769746,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440388886283,,605,,1598329440,387817291,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.46,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
1598329440439768434,,606,,1598329440,438697860,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.9599999999999997, 0.0, 0.0, 0.0, 1.9599999999999997, 0.0, 0.0, 0.0, 7.839999999999999]",1
